trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",30,0,-80.09538320223805,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,5,-5.817972066274212,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,0,-51.31356212207428,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-83.51397857889538,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,0,-118.5944877047725,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.631283645506926}",20,14,10.603226300593267,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-47.12313962943605,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,0,-114.20781948034585,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",30,0,-22.35050963717885,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-81.78671701874829,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,0,-142.97351564351328,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,8,5.3167404671455785,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-130.2723498738995,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",35,21,-5.306856928969866,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-137.23321722204383,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,0,-105.96652289265401,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,2,-98.76511870889436,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.559898366565402}",20,11,7.526079943656582,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
